Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
60.0,36.20000076293945,100.0,,,966
,,,,,967
60.0,36.20000076293945,100.0,,,968
,,,,,969
61.0,36.20000076293945,100.0,,,970
,,,,,971
61.0,36.20000076293945,100.0,,,972
,,,,,973
62.0,36.20000076293945,100.0,,,974
,,,,,975
62.0,36.20000076293945,100.0,,,976
,,,,,977
62.0,36.20000076293945,100.0,,,978
,,,,,979
62.0,36.20000076293945,100.0,,,980
,,,,,981
62.0,36.20000076293945,100.0,,,982
,,,,,983
62.0,36.20000076293945,100.0,,,984
,,,,,985
62.0,36.20000076293945,100.0,,,986
,,,,,987
61.0,36.20000076293945,100.0,,,988
,,,,,989
61.0,36.20000076293945,100.0,,,990
,,,,,991
61.0,36.20000076293945,100.0,,,992
,,,,,993
61.0,36.20000076293945,100.0,,,994
,,,,,995
61.0,36.20000076293945,100.0,,,996
,,,,,997
61.0,36.20000076293945,100.0,,,998
,,,,,999
62.0,36.20000076293945,100.0,,,1000
,,,,,1001
62.0,36.20000076293945,100.0,,,1002
,,,,,1003
62.0,36.20000076293945,100.0,,,1004
,,,,,1005
62.0,36.20000076293945,100.0,,,1006
,,,,,1007
62.0,36.20000076293945,100.0,,,1008
,,,,,1009
62.0,36.20000076293945,100.0,,,1010
,,,,,1011
62.0,36.20000076293945,100.0,,,1012
,,,,,1013
62.0,36.20000076293945,100.0,,,1014
,,,,,1015
62.0,36.20000076293945,100.0,,,1016
,,,,,1017
62.0,36.29999923706055,100.0,,,1018
,,,,,1019
63.0,36.29999923706055,100.0,,,1020
,,,,,1021
63.0,36.29999923706055,100.0,,,1022
,,,,,1023
64.0,36.29999923706055,100.0,,,1024
,,,,,1025
64.0,36.29999923706055,100.0,,,1026
,,,,,1027
64.0,36.20000076293945,100.0,,,1028
,,,,,1029
64.0,36.20000076293945,100.0,,,1030
,,,,,1031
64.0,36.20000076293945,100.0,,,1032
,,,,,1033
64.0,36.20000076293945,100.0,,,1034
,,,,,1035
65.0,36.20000076293945,100.0,,,1036
,,,,,1037
64.0,36.20000076293945,100.0,,,1038
,,,,,1039
64.0,36.20000076293945,100.0,,,1040
,,,,,1041
63.0,36.20000076293945,100.0,,,1042
,,,,,1043
63.0,36.20000076293945,100.0,,,1044
,,,,,1045
62.0,36.20000076293945,100.0,,,1046
,,,,,1047
61.0,36.20000076293945,100.0,,,1048
,,,,,1049
61.0,36.20000076293945,100.0,,,1050
,,,,,1051
61.0,36.20000076293945,100.0,,,1052
,,,,,1053
61.0,36.20000076293945,100.0,,,1054
,,,,,1055
61.0,36.20000076293945,100.0,,,1056
,,,,,1057
61.0,36.20000076293945,100.0,,,1058
,,,,,1059
62.0,36.20000076293945,100.0,,,1060
,,,,,1061
62.0,36.20000076293945,100.0,,,1062
,,,,,1063
62.0,36.29999923706055,100.0,,,1064
,,,,,1065
63.0,36.29999923706055,100.0,,,1066
,,,,,1067
63.0,36.29999923706055,100.0,,,1068
,,,,,1069
63.0,36.29999923706055,100.0,,,1070
,,,,,1071
62.0,36.29999923706055,100.0,,,1072
,,,,,1073
61.0,36.29999923706055,100.0,,,1074
,,,,,1075
61.0,36.20000076293945,100.0,,,1076
,,,,,1077
61.0,36.20000076293945,100.0,,,1078
,,,,,1079
61.0,36.20000076293945,100.0,,,1080
,,,,,1081
62.0,36.20000076293945,100.0,,,1082
,,,,,1083
62.0,36.20000076293945,100.0,,,1084
,,,,,1085
62.0,36.20000076293945,100.0,,,1086
,,,,,1087
62.0,36.20000076293945,100.0,,,1088
,,,,,1089
62.0,36.20000076293945,100.0,,,1090
,,,,,1091
62.0,36.20000076293945,100.0,,,1092
,,,,,1093
62.0,36.20000076293945,100.0,,,1094
