Solar8000/HR,Solar8000/BT,Solar8000/PLETH_SPO2,Solar8000/ART_SBP,Solar8000/RR,time_sec
0.0,,100.0,29.0,,456
,,,,,457
,,,,,458
,,,,,459
0.0,,100.0,29.0,,460
,,,,,461
,,,,,462
,,,,,463
0.0,,100.0,38.0,,464
,,,,,465
,,,,,466
,,,,,467
0.0,,100.0,33.0,,468
,,,,,469
,,,,,470
,,,,,471
0.0,,100.0,20.0,,472
,,,,,473
,,,,,474
,,,,,475
0.0,,100.0,32.0,,476
,,,,,477
,,,,,478
,,,,,479
0.0,,100.0,32.0,,480
,,,,,481
,,,,,482
,,,,,483
0.0,,100.0,28.0,,484
,,,,,485
,,,,,486
,,,,,487
0.0,,100.0,36.0,,488
,,,,,489
,,,,,490
,,,,,491
0.0,,100.0,33.0,,492
,,,,,493
,,,,,494
,,,,,495
0.0,,100.0,31.0,,496
,,,,,497
,,,,,498
,,,,,499
0.0,,100.0,28.0,,500
,,,,,501
,,,,,502
,,,,,503
0.0,,100.0,28.0,,504
,,,,,505
,,,,,506
,,,,,507
0.0,,100.0,28.0,,508
,,,,,509
,,,,,510
,,,,,511
75.0,,100.0,24.0,,512
,,,,,513
,,,,,514
,,,,,515
37.0,,100.0,24.0,,516
,,,,,517
,,,,,518
,,,,,519
28.0,,100.0,24.0,,520
,,,,,521
,,,,,522
,,,,,523
71.0,,100.0,38.0,,524
,,,,,525
,,,,,526
,,,,,527
30.0,,100.0,28.0,,528
,,,,,529
,,,,,530
,,,,,531
30.0,,100.0,27.0,,532
,,,,,533
,,,,,534
,,,,,535
66.0,,100.0,27.0,,536
,,,,,537
,,,,,538
,,,,,539
15.0,,100.0,24.0,,540
,,,,,541
,,,,,542
,,,,,543
0.0,,100.0,24.0,,544
,,,,,545
,,,,,546
,,,,,547
0.0,,100.0,24.0,,548
,,,,,549
,,,,,550
,,,,,551
0.0,,100.0,34.0,,552
,,,,,553
,,,,,554
,,,,,555
0.0,,100.0,29.0,,556
,,,,,557
,,,,,558
,,,,,559
0.0,,100.0,76.0,,560
,,,,,561
,,,,,562
,,,,,563
0.0,,100.0,125.0,,564
,,,,,565
,,,,,566
,,,,,567
0.0,,100.0,83.0,,568
,,,,,569
,,,,,570
,,,,,571
0.0,,100.0,50.0,,572
,,,,,573
,,,,,574
,,,,,575
0.0,,100.0,44.0,,576
,,,,,577
,,,,,578
,,,,,579
0.0,,100.0,39.0,,580
,,,,,581
,,,,,582
,,,,,583
0.0,,100.0,38.0,,584
,,,,,585
,,,,,586
,,,,,587
68.0,,100.0,52.0,,588
,,,,,589
,,,,,590
,,,,,591
68.0,,100.0,93.0,,592
,,,,,593
,,,,,594
,,,,,595
73.0,,100.0,,,596
,,,,,597
,,,,,598
,,,,,599
39.0,,100.0,,,600
,,,,,601
,,,,,602
,,,,,603
39.0,,100.0,,,604
,,,,,605
,,,,,606
,,,,,607
79.0,,100.0,,,608
,,,,,609
,,,,,610
,,,,,611
55.0,,100.0,,,612
,,,,,613
,,,,,614
,,,,,615
55.0,,100.0,,,616
,,,,,617
,,,,,618
,,,,,619
68.0,,100.0,9.0,,620
,,,,,621
,,,,,622
,,,,,623
0.0,,100.0,9.0,,624
,,,,,625
,,,,,626
,,,,,627
0.0,,100.0,10.0,,628
,,,,,629
,,,,,630
,,,,,631
0.0,,100.0,10.0,,632
,,,,,633
,,,,,634
,,,,,635
0.0,,100.0,9.0,,636
,,,,,637
,,,,,638
,,,,,639
0.0,,100.0,9.0,,640
,,,,,641
,,,,,642
,,,,,643
0.0,,100.0,9.0,,644
,,,,,645
,,,,,646
,,,,,647
0.0,,100.0,9.0,,648
,,,,,649
,,,,,650
,,,,,651
0.0,,100.0,10.0,,652
,,,,,653
,,,,,654
,,,,,655
0.0,,100.0,10.0,,656
,,,,,657
,,,,,658
,,,,,659
0.0,,100.0,10.0,,660
,,,,,661
,,,,,662
,,,,,663
0.0,,100.0,10.0,,664
,,,,,665
,,,,,666
,,,,,667
0.0,,100.0,9.0,,668
,,,,,669
,,,,,670
,,,,,671
0.0,,100.0,9.0,,672
,,,,,673
,,,,,674
,,,,,675
0.0,,100.0,9.0,,676
,,,,,677
,,,,,678
,,,,,679
0.0,,100.0,9.0,,680
,,,,,681
,,,,,682
,,,,,683
28.0,,100.0,9.0,,684
,,,,,685
,,,,,686
,,,,,687
0.0,,100.0,10.0,,688
,,,,,689
,,,,,690
,,,,,691
0.0,,100.0,10.0,,692
,,,,,693
,,,,,694
,,,,,695
71.0,,100.0,10.0,,696
